source_record_key,APN,finaled_year,full_WorkDescription,recovered_count,matched_spans,method,count_convention,compound_flag,consistency_flag,needs_accela,OccType,JobValuation
B2016-03894,056-1960-014-04,2018,"Phase 3: Structural for wood frame portion of building, Architectural close-in of building including mechanical, electrical, plumbing and landscape for a 152 dwelling unit mixed use building including a 2 story Type 1A concrete podium including parking and retail with 4 stories of Type-VA residential above. See Custom List Tab for area breakdown.",152.0,152 dwelling unit,anchored,dwelling,False,,False,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",21368100
B2016-05831,053-1659-030-00,2018,New 4 unit apartment building with covered off street parking - Demo Permit is B2017-01908.,4.0,4 unit,anchored,dwelling,False,,False,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",800000
B2015-06007,056-1954-008-01,2019,"CONSTRUCT NEW 19 LIVE/WORK UNITS W/PARKING GARAGE AS (S-2). 26,500SF",19.0,19 LIVE/WORK UNITS,anchored,live_work,False,,False,R-2,4000000
B2016-03011,054-1742-031-01,2020,"mixed use multi family building consisting of 39 dwelling units over structured parking, two live-work units & 1500 sq. ft. restaurant.",41.0,39 dwelling units | two live-work units,compound,dwelling+live_work,True,,False,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",8505000
B2016-05821,055-1871-006-00,2020,"New 5 story, 30,890 Sq. ft., 56 dwelling unit  elevator Multi-family structure.
**Geovanni Cortez from Power Plus added Temp power pole.** Subject to inspection.",56.0,56 dwelling unit,anchored,dwelling,False,,False,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",8000000.00
B2017-01855,059-2310-002-05,2020,"New 5-story plus basement, mixed-use residential & commercial building: 159 dwelling units and 11 townhomes over commercial.",170.0,159 dwelling units | 11 townhomes,compound,dwelling+townhome,True,,False,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",30300000
B2018-03160,055-1842-002-00,2020,"New two-story mini-dorm residential building 2,419sqft",,,accela,"mini-dorm, sqft only (2,419sqft), no unit count in text",False,,True,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",650000
B2019-01789,055-1875-008-00,2021,"Phase I of II phased project: Phase I - Concrete work including foundation
up to and including the 4th floor concrete slab. Including all underground storm,
electrical and plumbing for a new 8 story mixed use building. Floors 1 through 3 is Type IA which include R-2, A-2 (restaurant) and M occupancies. Floors 4 through 8 is Type IIIA and is R-2 Occupancy. 40 Dwelling Units total. Phase II permit is under B2018-01337.",40.0,40 Dwelling Units,anchored,dwelling,False,,False,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",3075000
B2019-01150,055-1819-001-02,2021,"Phase I: Foundation, concrete podium and underground utilities as part of a new mixed use 6 story building with 78 dwelling units, a commercial space, office suite and parking for 25 spaces.",78.0,78 dwelling units,anchored,dwelling,False,,False,B Business,3329650
B2019-05475,058-2183-001-00,2022,"New 5 story building, 4 Stories of Type VA over 1 Story Type IA, R2, S2, B and A3 occupancies: 37 Dwelling Units: 34 age-restricted Below-Market Rate units, 1 manager's unit and 2 units for use by All Souls Episcopal Parish. Including an enclosed parking garage, community & conference rooms, office suite, laundry and other support/amenity spaces .",37.0,37 Dwelling Units,anchored,dwelling,False,pass(37==34+1+2),False,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",4186569
B2019-02824,056-1945-007-04,2022,"Building C:  3 story, 4 Live-Work units and 1 office suite (project consists of 3 separate buildings A, B and C)",4.0,4 Live-Work units,anchored,live_work,False,,False,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",2999
B2016-05125,057-2022-019-00,2022,"2/15/19 - mechanical permit issued.
7 story Apartment Building containing 107 Dwelling units. 5 stories of Type IIIA over 2 stories of Type IA podium. Ground Floor has Residential amenities: Fitness Room, Lobby/Lounge, Multi-Purpose Meeting, Dining Space and Bike Storage, additionally it has a leasing office and garage.",107.0,107 Dwelling units,anchored,dwelling,False,,False,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",16649030.00
B2018-05067,055-1837-001-00,2022,"Construct (N) 5-story, mixed use building w/ 22 dwelling units, 2- live-work and commercial
space.
***Continuous wood shear wall tie-down system. Increase valuation from $5,937,000 to $5,942,000.
*** DEF03 - Steel stair shop drawings. No valuation increase.",24.0,22 dwelling units | 2- live-work,compound,dwelling+live_work,True,,False,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",5942000.00
B2019-02831,056-1945-007-04,2023,"Building B: 3 story, 4 Unit Apartment Building (project consists of 3 separate buildings A, B and C)",4.0,4 Unit,anchored,dwelling,False,,False,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",2999
B2019-04686,055-1894-015-00,2023,"(N) 37 unit, 6 story apartment building (33,539 SF Multi-Family Residential Building). The existing house will be relocated under a separate application (B2019-02634).  A lot line adjustment at the west side of the site will increase the width of the lot.",37.0,37 unit,anchored,dwelling,False,,False,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",6000000
B2020-02038,056-1944-011-00,2023,New construction of a 3-story building consisting of a residential duplex over a ground floor acupuncture office. New parking and landscaping.,2.0,duplex,word,dwelling,False,,False,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",618000
B2020-02831,055-1877-001-00,2023,"Construction of new 8 story mixed-use Type I-A / III-A. The project includes 87-dwelling units, ground level lobbies and commercial spaces.",87.0,87-dwelling units,anchored,dwelling,False,,False,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",14123886
B2020-03895,053-1601-030-00,2023,New detached ADU reconfigured to a two units building. Solar under permit B2022-02486,2.0,two units,word,dwelling,False,,False,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",247883.53
B2020-03911,057-2034-008-00,2023,New mixed-use 7-story building including 48-dwelling units and commercial space,48.0,48-dwelling units,anchored,dwelling,False,,False,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",3875294
B2021-05812,057-2025-013-00,2024,"Phase I - Concrete podium (foundation and levels 1-3 concrete structure) and underground utilities. For a new 8-story mixed-use building with 81 dwelling units, ground level lobby, and commercial space.",81.0,81 dwelling units,anchored,dwelling,False,,False,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",2340845
B2021-04949,056-1928-019-00,2024,"Foundation, grading and shoring phase for a new 4-story group living accommodations with 40 sleeping units and one manager's dwelling unit. Each residential floor will include community kitchens and an outdoor balcony. Common usable open space will also include a west-facing shared roof deck. Phase II permit is B2021-02423",41.0,40 sleeping units | one manager's dwelling unit,compound,sleeping_units+dwelling,True,,False,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",350000
