project_id,version_id,field,expected_old,new_value,source_class,source_quote,observed_date,note
15,15,height_stories,2,8,description,construct a new 8-story,2026-06-11,demolished-story bug
15,15,height_feet,131,89.33,document,"89'-4""",2026-06-11,"height per plan set cover (both PDFs), 8-story 89'-4""; Accela narrative said 88'-4"" — drawing supersedes"
15,15,total_units,131,110,document,"plan set A0.3B unit tables, both PDFs: base 55 + density bonus 55 = 110",2026-06-11,110 confirmed in two dated plan sets; supersedes Accela narrative 131
22,22,height_stories,2,8,description,proposed project is an 8-story,2026-06-11,demolished-story bug
123,121,height_stories,1,8,description,construct an 8-story,2026-06-11,demolished-story bug
11,11,height_feet,158,88.5,description,"7-story, 88'6""",2026-06-11,"units-leaked-into-feet; VERIFY against plan set before write — currently description-sourced, same risk class as proj15's 88-vs-89 catch"
36,35,total_units,32,152,document,"Tabulation Form 1.E (2023-12-13) Number of Dwelling Units: 0 existing / 152 proposed [OCR]; DBE base 102 + 50% density bonus, 16 VLI (15%)",2026-06-13,v1-migration undercount (32 in 8-story bldg impossible); count+tiers fixed together
8,8,total_units,221,242,document,"Tabulation Form 1.E (dated 2025-09-22) Number of Dwelling Units: 0 / 242 proposed [OCR]; DBE (2025-09-25) base 142 + 70% bonus, 22 VLI (15%) + 8 MOD",2026-06-13,v2 221/10-story is earlier; form newer (Sept 2025) 242/11-story; count+tiers
15,15,affordability_tiers,ABOVE_MOD 131,VLI 9 / MOD 9 / ABOVE_MOD 92,document,"DBE Eligibility Statement (2025-04-11): base 55, 9 VLI (15%) + 9 MOD (15%), 100% bonus = 110",2026-06-13,coarse all-market row replaced with cited tiers; sums to total 110
7,7,affordability_tiers,ABOVE_MOD 223,VLI 23 / ABOVE_MOD 200,document,"DBE (2023-06-09): base 149, 23 VLI (15%), 50% bonus (VLI-only, no MOD)",2026-06-13,"tiers fit to v2 total 223 (form-derived 224, Δ1 noise)"
17,17,affordability_tiers,ABOVE_MOD 105,VLI 11 / ABOVE_MOD 94,document,"DBE (2024-03-12): 11 VLI (15%), VLI-only",2026-06-13,"tiers fit to v2 total 105 (form-derived 108, Δ3 noise)"
10,10,affordability_source,VLI 17 / ABOVE_MOD 149 (uncited),same + source_document_id->DBE,document,"DBE (2022-07-08): base 111, 17 VLI (15%), 50% bonus",2026-06-13,"CONFIRM — v2 already matched form; citation added, no count/tier change"
119,117,affordability_source,VLI 58 / ABOVE_MOD 541 (uncited),same + source_document_id->DBE,document,"DBE (2024-03-12): base 411, 58 VLI (14%), 46.25% bonus",2026-06-13,"CONFIRM — v2 already matched form; citation added, no count/tier change"
9,9,affordability_tiers,ABOVE_MOD 212,DEFERRED (no change),document,"DBE (2025-02-28): base 113, 17 VLI + 16 MOD, 96.3% bonus = 222",2026-06-13,DEFERRED: form 2025-02-28 older than v2 effective_date 2026-02-11; count 222 + tiers likely stale; await current-version forms
13,13,affordability_tiers,ABOVE_MOD 132,VLI 14 / ABOVE_MOD 118,document,DBE (2023-04-18): a. base project units: 88; b. 14-Units (15%) affordable to Very Low-Income; c. density bonus 50%. Base 88 x 1.5 = 132 = total_units.,2026-06-13,coarse all-market row replaced with cited tiers; source_document_id=2174 (DBE)
151,,confidence_flag,confidence=high(1),confidence=low(3),judgment,"Ashby BART pre-entitlement; VLI 309=50% is conceptual planning target, uncited",2026-06-13,"conceptual placeholder; asserted_by note added (rows 137,138)"
122/140/123,,confidence_flag,confidence=high(1),confidence=low(3),judgment,RECENCY-HELD: DBE form older than v2 effective_date; harvested but not cited,2026-06-13,low-confidence pending a current-dated source; distinct from uncited-migration rest
28 projects/53 rows (rest),,confidence_flag,confidence=high(1),confidence=low(3),judgment,uncited migration affordability assertions (no source_document_id),2026-06-13,demoted to low-confidence; excludes Ashby 151 + recency-held 122/140/123
6,6,affordability_tiers,all-market ABOVE_MOD 240,DEFERRED (no write),document,"AHCP 2024-12-19 ""Total BMR Units Proposed by Income"": 50% AMI (Very-Low Income) 18 units; TOTAL BMR 18. Plan-set cover narrative: 15% (18 units) Very-Low + 15% (18 units) Moderate, 100% density bonus.",2026-06-13,"RECENCY-HOLD: AHCP form 2024-12-19 < v2 effective_date 2025-11-13, cannot cite current version. DISCREPANCY: AHCP shows VLI 18 only (inclusionary BMR); narrative adds MOD 18 (density-bonus tier) — unresolved until a post-2025-11-13 dedicated form."
4,4,affordability_tiers,"VLI 26 + ABOVE_MOD 231 (uncited, conf=low)",NO CHANGE (stays uncited-low),verification,"ZP2020-0104 attachments grid: 25 files read, 0 dedicated affordability forms (no DBE 5.C / Tabulation 1.E / AHCP 5.A). ZP2022-0058: 0 attachments. Density-bonus content only in raster plan-set sheet A0.3D DENSITY BONUS CALCS + bundled APP PCKT application packets.",2026-06-13,"NO-FORM-VERIFIED: no dedicated affordability form ever filed (grid fully enumerated, bucket-F lesson). VLI 26 stays uncited-low-confidence; recovering it needs OCR of A0.3D / app-packet density-bonus pages."
35,34,affordability_tiers,all-market ABOVE_MOD 452,VLI 34 / MOD 34 / ABOVE_MOD 384,document,"AHCP 5.A (2026-02-18) ""D Total BMR Units Proposed by Income"": 50% AMI (Very-Low Income) 34; 120% AMI (Moderate) 34; TOTAL BMR Units 68. || Unit-type TOTAL row: Market Rate 384 / Very-Low (50% AMI) 34 / Moderate (120% AMI) 34 / TOTAL 452.",2026-06-13,all-market placeholder replaced with cited tiers; triple-confirmed; source_document_id=2176 (AHCP); recency clears (no effective_date)
